id,left,top,right,bottom,CTPRVN_CD,CTP_ENG_NM,CTP_KOR_NM,lon,lat
84,1115112.527900000102818,1670197.949100000085309,1115612.527900000102818,1669697.949100000085309,"26",Busan,何魂堡开矫,128.7623366000,35.0170622400
85,1115112.527900000102818,1669697.949100000085309,1115612.527900000102818,1669197.949100000085309,"26",Busan,何魂堡开矫,128.7665643000,35.0137352200
197,1115612.527900000102818,1670197.949100000085309,1116112.527900000102818,1669697.949100000085309,"26",Busan,何魂堡开矫,128.7690000000,35.0156766900
198,1115612.527900000102818,1669697.949100000085309,1116112.527900000102818,1669197.949100000085309,"26",Busan,何魂堡开矫,128.7697361000,35.0141811400
199,1115612.527900000102818,1669197.949100000085309,1116112.527900000102818,1668697.949100000085309,"26",Busan,何魂堡开矫,128.7725075000,35.0110602300
311,1116112.527900000102818,1669697.949100000085309,1116612.527900000102818,1669197.949100000085309,"26",Busan,何魂堡开矫,128.7738899000,35.0127274700
312,1116112.527900000102818,1669197.949100000085309,1116612.527900000102818,1668697.949100000085309,"26",Busan,何魂堡开矫,128.7738153000,35.0109121100
618,1117612.527900000102818,1685697.949100000085309,1118112.527900000102818,1685197.949100000085309,"26",Busan,何魂堡开矫,128.7955354000,35.1569830900
619,1117612.527900000102818,1685197.949100000085309,1118112.527900000102818,1684697.949100000085309,"26",Busan,何魂堡开矫,128.7957082000,35.1539798500
638,1117612.527900000102818,1675697.949100000085309,1118112.527900000102818,1675197.949100000085309,"26",Busan,何魂堡开矫,128.7914830000,35.0681512600
639,1117612.527900000102818,1675197.949100000085309,1118112.527900000102818,1674697.949100000085309,"26",Busan,何魂堡开矫,128.7926489000,35.0634218100
731,1118112.527900000102818,1685697.949100000085309,1118612.527900000102818,1685197.949100000085309,"26",Busan,何魂堡开矫,128.7995699000,35.1567602300
732,1118112.527900000102818,1685197.949100000085309,1118612.527900000102818,1684697.949100000085309,"26",Busan,何魂堡开矫,128.7996187000,35.1529264200
733,1118112.527900000102818,1684697.949100000085309,1118612.527900000102818,1684197.949100000085309,"26",Busan,何魂堡开矫,128.8008533000,35.1489869900
734,1118112.527900000102818,1684197.949100000085309,1118612.527900000102818,1683697.949100000085309,"26",Busan,何魂堡开矫,128.8020784000,35.1458654400
751,1118112.527900000102818,1675697.949100000085309,1118612.527900000102818,1675197.949100000085309,"26",Busan,何魂堡开矫,128.8007835000,35.0649480200
752,1118112.527900000102818,1675197.949100000085309,1118612.527900000102818,1674697.949100000085309,"26",Busan,何魂堡开矫,128.8006687000,35.0644878300
754,1118112.527900000102818,1674197.949100000085309,1118612.527900000102818,1673697.949100000085309,"26",Busan,何魂堡开矫,128.7992163000,35.0529168200
755,1118112.527900000102818,1673697.949100000085309,1118612.527900000102818,1673197.949100000085309,"26",Busan,何魂堡开矫,128.7993356000,35.0500826500
843,1118612.527900000102818,1686197.949100000085309,1119112.527900000102818,1685697.949100000085309,"26",Busan,何魂堡开矫,128.8051717000,35.1598559500
844,1118612.527900000102818,1685697.949100000085309,1119112.527900000102818,1685197.949100000085309,"26",Busan,何魂堡开矫,128.8050365000,35.1572578700
845,1118612.527900000102818,1685197.949100000085309,1119112.527900000102818,1684697.949100000085309,"26",Busan,何魂堡开矫,128.8049709000,35.1527577900
846,1118612.527900000102818,1684697.949100000085309,1119112.527900000102818,1684197.949100000085309,"26",Busan,何魂堡开矫,128.8048990000,35.1482503500
847,1118612.527900000102818,1684197.949100000085309,1119112.527900000102818,1683697.949100000085309,"26",Busan,何魂堡开矫,128.8048759000,35.1440229300
848,1118612.527900000102818,1683697.949100000085309,1119112.527900000102818,1683197.949100000085309,"26",Busan,何魂堡开矫,128.8074375000,35.1403234600
864,1118612.527900000102818,1675697.949100000085309,1119112.527900000102818,1675197.949100000085309,"26",Busan,何魂堡开矫,128.8047138000,35.0657108700
865,1118612.527900000102818,1675197.949100000085309,1119112.527900000102818,1674697.949100000085309,"26",Busan,何魂堡开矫,128.8032397000,35.0640583800
866,1118612.527900000102818,1674697.949100000085309,1119112.527900000102818,1674197.949100000085309,"26",Busan,何魂堡开矫,128.8059633000,35.0585433800
867,1118612.527900000102818,1674197.949100000085309,1119112.527900000102818,1673697.949100000085309,"26",Busan,何魂堡开矫,128.8034869000,35.0533426000
868,1118612.527900000102818,1673697.949100000085309,1119112.527900000102818,1673197.949100000085309,"26",Busan,何魂堡开矫,128.8034113000,35.0497191200
869,1118612.527900000102818,1673197.949100000085309,1119112.527900000102818,1672697.949100000085309,"26",Busan,何魂堡开矫,128.8060055000,35.0467647000
873,1118612.527900000102818,1671197.949100000085309,1119112.527900000102818,1670697.949100000085309,"26",Busan,何魂堡开矫,128.8055666000,35.0243868100
874,1118612.527900000102818,1670697.949100000085309,1119112.527900000102818,1670197.949100000085309,"26",Busan,何魂堡开矫,128.8055037000,35.0239046300
956,1119112.527900000102818,1686197.949100000085309,1119612.527900000102818,1685697.949100000085309,"26",Busan,何魂堡开矫,128.8118286000,35.1595738100
957,1119112.527900000102818,1685697.949100000085309,1119612.527900000102818,1685197.949100000085309,"26",Busan,何魂堡开矫,128.8105832000,35.1571277300
958,1119112.527900000102818,1685197.949100000085309,1119612.527900000102818,1684697.949100000085309,"26",Busan,何魂堡开矫,128.8104591000,35.1526985500
959,1119112.527900000102818,1684697.949100000085309,1119612.527900000102818,1684197.949100000085309,"26",Busan,何魂堡开矫,128.8103868000,35.1481911200
960,1119112.527900000102818,1684197.949100000085309,1119612.527900000102818,1683697.949100000085309,"26",Busan,何魂堡开矫,128.8103145000,35.1436836900
961,1119112.527900000102818,1683697.949100000085309,1119612.527900000102818,1683197.949100000085309,"26",Busan,何魂堡开矫,128.8105428000,35.1394252200
962,1119112.527900000102818,1683197.949100000085309,1119612.527900000102818,1682697.949100000085309,"26",Busan,何魂堡开矫,128.8123335000,35.1361953700
973,1119112.527900000102818,1677697.949100000085309,1119612.527900000102818,1677197.949100000085309,"26",Busan,何魂堡开矫,128.8117954000,35.0828980200
974,1119112.527900000102818,1677197.949100000085309,1119612.527900000102818,1676697.949100000085309,"26",Busan,何魂堡开矫,128.8117777000,35.0806099700
975,1119112.527900000102818,1676697.949100000085309,1119612.527900000102818,1676197.949100000085309,"26",Busan,何魂堡开矫,128.8117589000,35.0779413000
977,1119112.527900000102818,1675697.949100000085309,1119612.527900000102818,1675197.949100000085309,"26",Busan,何魂堡开矫,128.8092431000,35.0661302800
978,1119112.527900000102818,1675197.949100000085309,1119612.527900000102818,1674697.949100000085309,"26",Busan,何魂堡开矫,128.8088883000,35.0633251400
979,1119112.527900000102818,1674697.949100000085309,1119612.527900000102818,1674197.949100000085309,"26",Busan,何魂堡开矫,128.8092590000,35.0576947900
980,1119112.527900000102818,1674197.949100000085309,1119612.527900000102818,1673697.949100000085309,"26",Busan,何魂堡开矫,128.8088727000,35.0535343700
981,1119112.527900000102818,1673697.949100000085309,1119612.527900000102818,1673197.949100000085309,"26",Busan,何魂堡开矫,128.8088008000,35.0490268700
982,1119112.527900000102818,1673197.949100000085309,1119612.527900000102818,1672697.949100000085309,"26",Busan,何魂堡开矫,128.8092743000,35.0449780100
983,1119112.527900000102818,1672697.949100000085309,1119612.527900000102818,1672197.949100000085309,"26",Busan,何魂堡开矫,128.8111260000,35.0419618600
984,1119112.527900000102818,1672197.949100000085309,1119612.527900000102818,1671697.949100000085309,"26",Busan,何魂堡开矫,128.8093352000,35.0334121700
985,1119112.527900000102818,1671697.949100000085309,1119612.527900000102818,1671197.949100000085309,"26",Busan,何魂堡开矫,128.8095057000,35.0319240900
986,1119112.527900000102818,1671197.949100000085309,1119612.527900000102818,1670697.949100000085309,"26",Busan,何魂堡开矫,128.8070563000,35.0243912800
987,1119112.527900000102818,1670697.949100000085309,1119612.527900000102818,1670197.949100000085309,"26",Busan,何魂堡开矫,128.8083139000,35.0229866700
1069,1119612.527900000102818,1686197.949100000085309,1120112.527900000102818,1685697.949100000085309,"26",Busan,何魂堡开矫,128.8158678000,35.1596479100
1070,1119612.527900000102818,1685697.949100000085309,1120112.527900000102818,1685197.949100000085309,"26",Busan,何魂堡开矫,128.8159497000,35.1570766900
1071,1119612.527900000102818,1685197.949100000085309,1120112.527900000102818,1684697.949100000085309,"26",Busan,何魂堡开矫,128.8159472000,35.1526390500
1072,1119612.527900000102818,1684697.949100000085309,1120112.527900000102818,1684197.949100000085309,"26",Busan,何魂堡开矫,128.8158746000,35.1481316400
1073,1119612.527900000102818,1684197.949100000085309,1120112.527900000102818,1683697.949100000085309,"26",Busan,何魂堡开矫,128.8158021000,35.1436242200
1074,1119612.527900000102818,1683697.949100000085309,1120112.527900000102818,1683197.949100000085309,"26",Busan,何魂堡开矫,128.8157295000,35.1391168000
1075,1119612.527900000102818,1683197.949100000085309,1120112.527900000102818,1682697.949100000085309,"26",Busan,何魂堡开矫,128.8159652000,35.1348931900
1086,1119612.527900000102818,1677697.949100000085309,1120112.527900000102818,1677197.949100000085309,"26",Busan,何魂堡开矫,128.8149691000,35.0828835900
1087,1119612.527900000102818,1677197.949100000085309,1120112.527900000102818,1676697.949100000085309,"26",Busan,何魂堡开矫,128.8147879000,35.0805199800
1088,1119612.527900000102818,1676697.949100000085309,1120112.527900000102818,1676197.949100000085309,"26",Busan,何魂堡开矫,128.8147003000,35.0779261600
1090,1119612.527900000102818,1675697.949100000085309,1120112.527900000102818,1675197.949100000085309,"26",Busan,何魂堡开矫,128.8146874000,35.0665542200
1091,1119612.527900000102818,1675197.949100000085309,1120112.527900000102818,1674697.949100000085309,"26",Busan,何魂堡开矫,128.8142789000,35.0636140500
1092,1119612.527900000102818,1674697.949100000085309,1120112.527900000102818,1674197.949100000085309,"26",Busan,何魂堡开矫,128.8144264000,35.0579825800
1093,1119612.527900000102818,1674197.949100000085309,1120112.527900000102818,1673697.949100000085309,"26",Busan,何魂堡开矫,128.8143542000,35.0534750900
1094,1119612.527900000102818,1673697.949100000085309,1120112.527900000102818,1673197.949100000085309,"26",Busan,何魂堡开矫,128.8142820000,35.0489676000
1095,1119612.527900000102818,1673197.949100000085309,1120112.527900000102818,1672697.949100000085309,"26",Busan,何魂堡开矫,128.8142098000,35.0444601000
1096,1119612.527900000102818,1672697.949100000085309,1120112.527900000102818,1672197.949100000085309,"26",Busan,何魂堡开矫,128.8145093000,35.0400885900
1097,1119612.527900000102818,1672197.949100000085309,1120112.527900000102818,1671697.949100000085309,"26",Busan,何魂堡开矫,128.8144078000,35.0353219300
1098,1119612.527900000102818,1671697.949100000085309,1120112.527900000102818,1671197.949100000085309,"26",Busan,何魂堡开矫,128.8142763000,35.0313991700
1099,1119612.527900000102818,1671197.949100000085309,1120112.527900000102818,1670697.949100000085309,"26",Busan,何魂堡开矫,128.8158728000,35.0261120300
1100,1119612.527900000102818,1670697.949100000085309,1120112.527900000102818,1670197.949100000085309,"26",Busan,何魂堡开矫,128.8140066000,35.0219078200
1101,1119612.527900000102818,1670197.949100000085309,1120112.527900000102818,1669697.949100000085309,"26",Busan,何魂堡开矫,128.8157383000,35.0194998700
1183,1120112.527900000102818,1685697.949100000085309,1120612.527900000102818,1685197.949100000085309,"26",Busan,何魂堡开矫,128.8209757000,35.1562980000
1184,1120112.527900000102818,1685197.949100000085309,1120612.527900000102818,1684697.949100000085309,"26",Busan,何魂堡开矫,128.8214353000,35.1525793100
1185,1120112.527900000102818,1684697.949100000085309,1120612.527900000102818,1684197.949100000085309,"26",Busan,何魂堡开矫,128.8213624000,35.1480719100
1186,1120112.527900000102818,1684197.949100000085309,1120612.527900000102818,1683697.949100000085309,"26",Busan,何魂堡开矫,128.8212896000,35.1435645000
1187,1120112.527900000102818,1683697.949100000085309,1120612.527900000102818,1683197.949100000085309,"26",Busan,何魂堡开矫,128.8212167000,35.1390570900
1188,1120112.527900000102818,1683197.949100000085309,1120612.527900000102818,1682697.949100000085309,"26",Busan,何魂堡开矫,128.8211439000,35.1345496800
1189,1120112.527900000102818,1682697.949100000085309,1120612.527900000102818,1682197.949100000085309,"26",Busan,何魂堡开矫,128.8219111000,35.1318023300
1195,1120112.527900000102818,1679697.949100000085309,1120612.527900000102818,1679197.949100000085309,"26",Busan,何魂堡开矫,128.8232303000,35.1010100300
1196,1120112.527900000102818,1679197.949100000085309,1120612.527900000102818,1678697.949100000085309,"26",Busan,何魂堡开矫,128.8227237000,35.0984983300
1199,1120112.527900000102818,1677697.949100000085309,1120612.527900000102818,1677197.949100000085309,"26",Busan,何魂堡开矫,128.8210356000,35.0838886800
1200,1120112.527900000102818,1677197.949100000085309,1120612.527900000102818,1676697.949100000085309,"26",Busan,何魂堡开矫,128.8202712000,35.0804604000
1201,1120112.527900000102818,1676697.949100000085309,1120612.527900000102818,1676197.949100000085309,"26",Busan,何魂堡开矫,128.8201791000,35.0779007900
1202,1120112.527900000102818,1676197.949100000085309,1120612.527900000102818,1675697.949100000085309,"26",Busan,何魂堡开矫,128.8217930000,35.0693580800
1203,1120112.527900000102818,1675697.949100000085309,1120612.527900000102818,1675197.949100000085309,"26",Busan,何魂堡开矫,128.8200789000,35.0669067400
1204,1120112.527900000102818,1675197.949100000085309,1120612.527900000102818,1674697.949100000085309,"26",Busan,何魂堡开矫,128.8196847000,35.0627949800
1205,1120112.527900000102818,1674697.949100000085309,1120612.527900000102818,1674197.949100000085309,"26",Busan,何魂堡开矫,128.8199082000,35.0579230500
1206,1120112.527900000102818,1674197.949100000085309,1120612.527900000102818,1673697.949100000085309,"26",Busan,何魂堡开矫,128.8198357000,35.0534155700
1207,1120112.527900000102818,1673697.949100000085309,1120612.527900000102818,1673197.949100000085309,"26",Busan,何魂堡开矫,128.8197631000,35.0489080900
1208,1120112.527900000102818,1673197.949100000085309,1120612.527900000102818,1672697.949100000085309,"26",Busan,何魂堡开矫,128.8196906000,35.0444006000
1209,1120112.527900000102818,1672697.949100000085309,1120612.527900000102818,1672197.949100000085309,"26",Busan,何魂堡开矫,128.8196181000,35.0398931100
1210,1120112.527900000102818,1672197.949100000085309,1120612.527900000102818,1671697.949100000085309,"26",Busan,何魂堡开矫,128.8195457000,35.0353856200
1211,1120112.527900000102818,1671697.949100000085309,1120612.527900000102818,1671197.949100000085309,"26",Busan,何魂堡开矫,128.8194732000,35.0308781200
1212,1120112.527900000102818,1671197.949100000085309,1120612.527900000102818,1670697.949100000085309,"26",Busan,何魂堡开矫,128.8194008000,35.0263706200
1213,1120112.527900000102818,1670697.949100000085309,1120612.527900000102818,1670197.949100000085309,"26",Busan,何魂堡开矫,128.8193283000,35.0218631200
1214,1120112.527900000102818,1670197.949100000085309,1120612.527900000102818,1669697.949100000085309,"26",Busan,何魂堡开矫,128.8199716000,35.0186059600
