"구·군별",2022.06,2022.06,2022.06,2022.06,2022.06,2022.06,2022.06,2022.06
"구·군별",읍면동수 (개),세대수 (세대),인구수  (명),남자인구수 (명),여자인구수 (명),시전체 인구에 대한 구성비 (%),면적 (㎢),인구밀도 (명/㎢)
"부산광역시",205,1556938,3383254,1655876,1727378,100.0,770.17,4393
"중구",9,24304,42692,21173,21519,1.3,2.83,15086
"서구",13,53109,106397,51630,54767,3.1,13.95,7627
"동구",12,47052,90186,44022,46164,2.7,9.87,9137
"영도구",11,54700,111307,55055,56252,3.3,14.20,7839
"부산진구",20,174624,353674,169982,183692,10.5,29.67,11920
"동래구",13,119772,275668,133524,142144,8.1,16.63,16577
"남구",17,118480,265158,129581,135577,7.8,26.82,9887
"북구",13,123579,282625,139282,143343,8.4,39.37,7179
"해운대구",18,171960,396120,190250,205870,11.7,51.54,7686
"사하구",16,141003,309199,154125,155074,9.1,41.77,7402
"금정구",16,107827,228255,111153,117102,6.7,65.28,3497
"강서구",8,62674,148522,78244,70278,4.4,181.50,818
"연제구",12,94167,207060,99451,107609,6.1,12.10,17112
"수영구",10,86992,176490,83094,93396,5.2,10.22,17269
"사상구",12,98741,210294,106072,104222,6.2,36.10,5825
"기장군",5,77954,179607,89238,90369,5.3,218.32,823
